Metric,Mean,STD
MAE,0.44141759475072223, 3.24055635e-02
MSE,0.5825997988382975, 4.47272558e-02
RMSE,0.7627032200495402, 2.97252976e-02
MAPE,2.558295647303263, 1.21722116e-01
MSPE,1388.2034912109375, 1.47022305e+02
TrainTime(s),131450.338871002,
TestTime(s),1730.330626851,
