Métrica,Valor
MAE,0.5841129620869955
MSE,0.8039686878522238
RMSE,0.8954983154932658
MAPE,2.6560386021931968
MSPE,887.5472005208334
TrainTime(s),19201.473925908405
TestTime(s),324.2970076402028
