Metric,Mean
MAE,0.44141759475072223
MSE,0.5825997988382975
RMSE,0.7627032200495402
MAPE,2.558295647303263
MSPE,1388.2034912109375
TrainTime(s),131450.338871002
TestTime(s),1730.330626851
